,0
1300,228
1301,200
1302,181
1303,184
1304,207
1305,137
1306,201
1307,190
1308,153
1309,319
1310,292
1311,170
1312,189
1313,175
1314,195
1315,303
1316,305
1317,184
1318,149
1319,198
1320,261
1321,202
1322,264
1323,221
1324,143
1325,205
1326,302
1327,198
1328,184
1329,97
1330,99
1331,288
1332,77
1333,284
1334,170
1335,183
1336,257
1337,167
1338,198
1339,184
1340,192
1341,132
1342,125
1343,105
1344,249
1345,241
1346,180
1347,183
1348,222
1349,129
1350,175
1351,134
1352,203
1353,22
1354,242
1355,211
1356,234
1357,230
1358,213
1359,248
1360,146
1361,184
1362,56
1363,137
1364,201
1365,203
1366,276
1367,170
1368,173
1369,176
1370,203
1371,114
1372,112
1373,253
1374,214
1375,249
1376,125
1377,223
1378,223
1379,206
1380,268
1381,172
1382,153
1383,172
1384,240
1385,184
1386,173
1387,178
1388,326
1389,133
1390,24
1391,25
1392,102
1393,223
1394,197
1395,185
1396,254
1397,135
1398,173
1399,291
1400,202
1401,219
1402,166
1403,187
1404,171
1405,125
1406,242
1407,190
1408,177
1409,131
1410,333
1411,131
1412,238
1413,177
1414,202
1415,162
1416,91
1417,282
1418,185
1419,218
1420,127
1421,169
1422,261
1423,87
1424,88
1425,120
1426,89
1427,189
1428,193
1429,198
1430,221
1431,191
1432,126
1433,172
1434,215
1435,284
1436,124
1437,76
1438,342
1439,181
1440,153
1441,189
1442,293
1443,173
1444,211
1445,204
1446,198
1447,302
1448,228
1449,286
1450,164
1451,298
1452,108
1453,176
1454,161
1455,213
1456,104
1457,69
1458,77
1459,320
1460,151
1461,105
1462,242
1463,150
1464,254
1465,217
1466,162
1467,113
1468,86
1469,40
1470,170
1471,171
1472,95
1473,179
1474,113
1475,179
1476,110
1477,99
1478,63
1479,206
1480,156
1481,137
1482,145
1483,194
1484,203
1485,83
1486,357
1487,70
1488,226
1489,240
1490,155
1491,59
1492,176
1493,218
1494,218
1495,181
1496,133
1497,241
1498,170
1499,156
1500,225
1501,128
1502,120
1503,105
1504,218
1505,178
1506,129
1507,163
1508,59
1509,181
1510,269
1511,179
1512,166
1513,257
1514,146
1515,179
1516,140
1517,248
1518,22
1519,76
1520,128
1521,222
1522,199
1523,70
1524,175
1525,160
1526,158
1527,122
1528,81
1529,222
1530,122
1531,60
1532,136
1533,155
1534,153
1535,25
1536,147
1537,241
1538,123
1539,222
1540,124
1541,219
1542,100
1543,130
1544,80
1545,178
1546,290
1547,128
1548,205
1549,185
1550,27
1551,157
1552,191
1553,24
1554,79
1555,222
1556,199
1557,48
1558,80
1559,137
1560,188
1561,165
1562,211
1563,110
1564,59
1565,255
1566,145
1567,182
1568,227
1569,275
1570,213
1571,138
1572,134
1573,141
1574,124
1575,126
1576,289
1577,225
1578,149
1579,151
1580,259
1581,126
1582,222
1583,292
1584,212
1585,245
1586,244
1587,18
1588,197
1589,159
1590,178
1591,192
1592,321
1593,261
1594,175
1595,140
1596,151
1597,230
1598,165
1599,126
1600,105
1601,178
1602,214
1603,150
1604,219
1605,359
1606,163
1607,149
1608,167
1609,175
1610,188
1611,253
1612,178
1613,100
1614,200
1615,125
1616,221
1617,362
1618,205
1619,177
1620,144
1621,218
1622,144
1623,233
1624,211
1625,258
1626,161
1627,174
1628,119
1629,165
1630,163
1631,272
1632,166
1633,146
1634,206
1635,149
1636,128
1637,150
1638,234
1639,177
1640,303
1641,140
1642,104
1643,228
1644,161
1645,162
1646,220
1647,132
1648,130
1649,247
1650,127
1651,123
1652,152
1653,203
1654,203
1655,174
1656,198
1657,171
1658,175
1659,173
1660,252
1661,214
1662,188
1663,224
1664,319
1665,165
1666,22
1667,105
1668,51
1669,206
1670,271
1671,141
1672,226
1673,164
1674,166
1675,201
1676,80
1677,167
1678,133
1679,174
1680,186
1681,54
1682,337
1683,192
1684,105
1685,194
1686,265
1687,198
1688,229
1689,227
1690,229
1691,185
1692,162
1693,204
1694,164
1695,207
1696,140
1697,120
1698,257
1699,161
1700,229
1701,112
1702,113
1703,100
1704,160
1705,208
1706,102
1707,206
1708,169
1709,100
1710,296
1711,128
1712,234
1713,162
1714,191
1715,222
1716,228
1717,183
1718,215
1719,239
1720,244
1721,240
1722,23
1723,243
1724,172
1725,209
1726,149
1727,157
1728,130
1729,217
1730,114
1731,20
1732,136
1733,167
1734,274
1735,188
1736,166
1737,110
1738,208
1739,257
1740,222
1741,155
1742,170
1743,165
1744,61
1745,161
1746,182
1747,244
1748,98
1749,427
1750,186
1751,225
1752,120
1753,284
1754,166
1755,279
1756,163
1757,164
1758,299
1759,198
1760,58
1761,205
1762,217
1763,225
1764,151
1765,186
1766,181
1767,289
1768,161
1769,222
1770,186
1771,198
1772,267
1773,59
1774,229
1775,256
1776,223
1777,162
1778,247
1779,96
1780,130
1781,8
1782,110
