essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater1_trait5	rater1_trait6	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	rater2_trait5	rater2_trait6	rater3_trait1	rater3_trait2	rater3_trait3	rater3_trait4	rater3_trait5	rater3_trait6
69	1	"Some people think it is a good idea and same do not. My opinion is that, I think that people spend a lot of time for good reasons. Here are three reasons why, @NUM1. grownups working, @NUM2. students learning how to type, and @NUM3. communicating with others. My first reason is that parents do a lot of work on computer. For example, they do taxes, paperwork, airline tickets, and the bank. And those are usually all done on the computer so it would be easier if people don't drive. My second reason is students need to learn how to type so they can email or even write on paper. It helps them build learning ability and also, so they can know how to sing the @ORGANIZATION1's. Computers are suppose to be fun for people of any age. My last reason is, communicating with others is a great skill to have so you can talk in person. Computers help because if you mess up of what your trying to say then you could just erase what your trying to say. And in person, you can't. Also you can make plans with one of your friend on something if they live really far or something like that. In my opinion. I think people should be able to go on the computers to do work, playgames, no sites, and many more other things to go on, only if you have a computer at home."	3	4		7																					
110	1	"Dear @ORGANIZATION1, I think computers are good to society, because you can read the news paper online, email your friends and family, and can play games and watch videos or movies. Knowing the latest news is very important, news paper are okay but you have to pay for them with the news paper online you can get the latest news for free! This way you can save money and trees. Heres another way of saving trees. E-mailing is a good to talk so some one far away and it's a lot faster than just regular old mailing. E-mail is also good for e-mailing links to cool websites, on e-mail can send a funny picture or a video or an important notice. So, Computers can be your news paper and a good and fast way of communication. It also can be useful for entertainment. Computers are one of the most popular entertainment sources. Computers allow you to go on game sites, watch videos or movies or play on online game on just a regular @CAPS1 game. I know whenever I'm bore I go on my computer and I can always find something to don on line or find a movie to watch. So, computers are very popular, in many areas computers are helpful in news, communication, and entertainment. People just need to look at the positive aspects of computers, then they will see how great they are"	3	3		6																					
116	1	"I agree with the newspaper, people are spending too much time on the computer and not exercising. everyone knows computers addictive. but people need to get out more. but people making it more addicting by creating things such as never ending games and its distracting people from there life, family, work and exercise."	2	2		4																					
125	1	Computers don?t have any affect on kids we just love going on cause we use it for help and this persuade the readers of the local newspaper cause we need to be able to communicate also do writing essays and doing social studies or science homework my ideas are let us go computers cause were not bothering u can just leave us alone and let us do what you need to do cause what computers are what give us information for we have to do and were to do wat we gotta do and u people can just leave us alone cause arent addicting to me or anyone and if we were it still would it matter cause a computers a computer u dont punish it because just punish us from the computer punish us because of it cause its the computer fault it can be addicting cause the computer is device that gives us wat we need and the information we also the computer does favors for us the computer is a amazing thing	3	2		5																					
135	1	"Dear @CAPS1 @CAPS2 @CAPS3, I am writing to tell you about the effects computers have on people. They teach hand-eye coordination, lets people search @CAPS1 places, talk online with people like family and friends. First, the computers teach hand eye coordination it helps you become a better speller and type fast or type without looking at the keys I know it helped me and im sure it will help you too. Secondly, computers lets you interact with family and friends and lets you make friends like myspace you talk to your friends and make @CAPS1 ones facebook is more mature if you ask me twitter also its just away for you too talk to your friends yahoo, gmail, aol. Even teacher es lets the teachers communicate with parents so it helps you communicate without everyone being in your conversation on the phone. Next, it helps you search @CAPS1 and old places like landmarks or bussnesses like salons, nail palors. Gyms and @CAPS1 resturant you can even search when a movie is goin to come out. A computer can help you very much in this type of case. In conculsion computers are good they help you inform you and they can teach you I love my computer it helps me with homework and helps me study. Say you cant talk with someone over the phone, you can email or chat with them and it's so cool/fun and it interesting how you can learn @CAPS1 things it lets you upload pictures, music videos and you can type essays. The computer is very educational."	3	4		7																					
137	1	"Dear, news paper I think computers are good, this is because you can learn thing's about faraway places using them, you can also hear about the most recent news and you can communicate with people. In school a lot of the research projects on other places focus on other places around the world. When you use a computer you can read articles about the place and also get pictures and use them in a slideshow or photo story. Their are also educational websites that kids can go on to learn their math facts to multuplication tables @CAPS1 the computer is a good learning tool. The computer can keep you up-to-date with the news to! their are news website that post minute to minute things about world news and tell the world what kind of desaster happened in some far away place on the other side of the world. A lot of the time families are spread all over the world, you can chat with family or friend's that have moved by a simple chat room and you can catch up on what has been happening in each other's lives and that's a good tool for family to stay in touch @CAPS1 the computer has lots of benefits that a lot of people all around the world can use, from learning. About a faraway country to chatting with cuson that lives in california and also knowing whats going on in your own home town."	3	4		7																					
139	1	"Dear, @ORGANIZATION1, I think computers do have a positive affect on people but I don't think because of computers is the reason people don't exercise or enjoy nature. People make their own choices in life. The computer is just there. If somebody chooses to be on the computer instead of spending time with their family well thats their choice and problem not the computers. Me for example I love working and playing on the computer. Even though I'm on the computer I still do things like talk to my family, I play basketball, and I chill with my homies. Now thats my choice to do all of that. I can easily just sit up in my room and be on the computer all the time. It's nothing wrong with doing that because that is my choice in life. Nobody should be able to tell you to get off the computer because that is your choice in life. If you want to be on the computer instead of going outside thats your choice. Only you know what is best for you."	3	4		7																					
147	1	"Hour after hour of gaming online and posting blogs on social networking sights is all one sees. Unaware at there surroundings, many people zone to their computer screens and only break @CAPS4 absolutely necessary. That is not what the world should become but that is what is society is creating. Computers do not create positive benefits to society. Because of all the time spent on the computer, people's bodies are taking the negative effects. There is also less and less face-to-face interactions with family and friends. Another huge issue is cyber bulling. These are all problems that should be addressed. With all the time spend on a computer in a stuffy, dark room, how will our bodies be maintained properly? Exercise is a key ingriedient to healthy living. It is like trying to make bread without flour, without that necessity the bread will not rise its full potential. It is the same with the health and functions at our bodies. Exercise must be took part in to burn fat and calories, but it is also needed to build and maintain muscles. In fact, muscles start it is recommended to get in at least one hour of exercise of outside play a days. Not many succeed with this goal, which brings up another negative effect to the body. @CAPS2 @CAPS1 helps to maintain strong bones. To get the recommended dose of @CAPS2 @CAPS1 a day you only need to absorb @NUM1 minutes of sunlight a day. It doesn't seem like a lot but @PERCENT1 of our population is not outside to recieve it. Instead, they are inside on their computers. Parties, lunch breaks, or even a family dinner are great times to socialize. But, what if one day you decided you were going to skip your lunch break with friends and instead spend time posting a daily blog. This is social time lost. If this habit continues you might soon see yourself drifting away from your friends because you don't make the time to spend lunch break with them. Even @CAPS4 a child interactions @CAPS4 chatting with friends on @CAPS5 or @CAPS6, anything could be said. Children wont learn at a young age how to think on there fact language. This will effect their later years @CAPS4 interviewing for things such as colleges or even jobs. Social skills are the difference between success and failure. Spending life on a computer is equivalent to being a caterpillar in their while at least attempting to be an extreme will turn you @CAPS7 and @CAPS7 are all created with the ominous cyberbulling. One simple way to prevent this is spending less time in the computer. The effects of cyber bulling can be brutal. A recent study showed that @PERCENT2 of kids would rather be bullied in face then over the internet. The reason being a of cruelty is displayed through cyberbulling over the internet because it takes much less courage to type something up then it for a bully to say something to them victims face. Such cyberbulling has even led to suicides. In fact, a girl in committed suicide due to cyber bulling just @NUM2 weeks ago. If you don't have In conclusion, computers produce more negative effect on society than good. A lack of exercise and proper body maintenance results. Reduced social interacting and skills also result. And maybe most importantly cyberbulling which takes lives occurs. In prevent society from turning into a social waste and felled with the glow of computer screens, lets all turn the monitor and get outside with nature and all its benefits."	6	6		12																					
154	1	"Dear Local Newspaper, I believe that computers are an extremely useful tool in society. It helps people learn new things about different cultures. Also, it lets you communicate with friends and family through the internet, for example, using facebook or @CAPS1. Finally, it provides an accurate research tool for school projects, or interviews. First, learning about different cultures helps the world stay together. For example, here, we learn @CAPS2 and @CAPS3. Each class teaches us to respect more and more of this culture. However, some people don't have the chance to get this land of education, so they turn to the internet. If the computer didn't exist, we might not know about the lifestyle @NUM1 mi away from us. We wouldn't know if their lifestyles are extremely difficult or luxurious. Also, we wouldn't know if we could help them or not. For example, the earthquake in @LOCATION1 which. It's one step closer to world peace no more war or conflicts. Secondly, the computer helps you communicate to friends and family for in the world. I remember one time I was mailing my family friends who was in @LOCATION2, risking his life. I knew he couldn't come back to town, so I started to email him, and video chat with him. Whenever I saw his face, I knew that everything was okay. I don't know how I would have without the internet. Other ways lived you could as. Also, just communicating with friends! internet sites, like extremely useful. Finally, you use the computer for educational use. For example, research projects, study tools and essays. Whenever that a research is the internet. This extremely reliable and accurate. However that some of the websites are fake, which is easy to great research to use for school projects. Also, I know many teachers in my school have a blog or page where they put their @CAPS4 on, study links, and handouts, just in case we lose them. Whenever there is a test coming up, my @CAPS2 teacher, @CAPS5 would have links on her go to help use study. Also, is another website that helps us study for vocab. It also has many games that and learn our vocab words. As you can see, the computer helps us in our daily use and makes a positive impact on our society. From educational purposes, to learning cultures and socializing with friends it helps us get through life. As very successful newspaper and people, I assume you will understand how much the computer has made a positive effect in society."	6	6		12																					
162	1	"Since computers were invented, a colossal change in the way society functions has taken place. People how can go on to their computers to communicate with peers, get information on any topic for a school paper, or just because the internet to watch videos and stories. Magazine and newspaper articles, books and even movies and shows sre available on today's computer! This advancement in technology has made the @NUM1 century the most modern era this world has ever seen, and is beneficial to society. The ""computer age"" has given people in today's society the incredible opportunity to broaden their imaginations through technology. You can, in less than one minute go on the internet type in to @ORGANIZATION1 whatever movie or book you want and start watching instantly. People have always said that books can take you anywhere you want. Well, the computers can do the same thing, expect with greater efficiency and with more places to choosen from. You can, instead of buying a book, go online and read of the faraway city of @LOCATION1, or of the eruption of the @CAPS1 @CAPS2, and you can do it with mind-blowing speed. Some think that by wasting time on computers, people are using up time that could be spent studying or with family. Howeer, any information needed to your knowledge on a topic can be found on the internet. And if you want to spent time with your family, you can even look your computer up to a tv and watch a free movie with the family! The computer age is here and it is exactly. What society needs. Picture this: you're doing a school project on the you know nothing about it. Would you rather drive minutes going and thirty minutes looking withb everything you need, or do you think it's more to spend five minutes looking for the website you need on the internet? Obviously, the later of the is much more reasonable. The computer makes getting research for school or work substantially easier. In addition,you can create entire presentations on a computers with surprising ease! Being an eighth grade student, I dont know I would ever do woithout the internet. I rely on my computer to get all of my research for almost every project, and I even make some of my best project on it! The computer is the likes of all the hard working students and adults much, much easier. People's lives have not only been made easier in the field of research; computer make communicating with friends and familyeasier as well! Through e-mail, video chat and instant messaging., we can communicate with whoever we would, whenever we wort. With some computers, you can even see and talk to any person you wish. Without these computers, we will one again have to resort to snail mail, whcih makes instant communication @CAPS3 telephones, we would have no other way to talk. Computers have enhanced communication chill likes so graetly that it's foolish to say their not beneficial to society. How can a machine with so many abilities be for see the computer as a brooden research for school and we want! Bottom line the computer age is here and its amazing."	6	6		12																					
195	1	"Dear, @ORGANIZATION1, @CAPS1 idea about ""Computers"" is very well thought outside of the box.Well. We sure need computer to look up information these days. Why do we need them now and it dident existed before? Reseach shows over @PERCENT1 of @CAPS2 says computer is everything. Let me explain a little bit further to you what I mean. First, you can look up places, chat with friends and family. @CAPS1 oppinion about using the local internet would be that it's good only for those who knows and not trying to be mean. For little world neve should get to bed at least @NUM1 pm, and never to forget about nature outside of fresh air. In conclusion, internet these days are very good for people."	2	3		5																					
219	1	"Dear Newspaper, @CAPS1 has lately come to my attention that people were saying that computers aren't important. Well, I strongly disagree with that statement. I think computers teach excellent hand eye coordination, give people the ability to learn about far away places, and even allow you to chat online with family and friends. Computers teach a lot of hand eye coordination. Study's show that @PERCENT1 of all football players have excellent hand eye coordination. I'm sure this is because after the football players get home from a big game or something they log into @CAPS2 and make thier status all about thier win. Plus, they probably pull up pingball and see how long they can go without getting the little ball down the hole. Do you have good hand eye coordination? My second reason that I disagree with the previous statement would have to be that computers give people the ability to learn about far away places without ever leaving home I mean @CAPS1 is so much faster than having to go to the library. At the library you would have to first get there, secend pick out your book, and third check @CAPS1 out. with a computer in all that time you could be completely finished with you whole project! Finally, the reason why computers are so important is because @CAPS1 keeps people in touch. Do you have family members who live far away from you? I @CAPS3 I do. I can't always call them on the phone @CAPS4 I want to talk to them so I just log on to @CAPS2 and if there online I can have my conversation with that person. I don't @CAPS3 about you but I'm really close to my grandma. Unfortanitly she doesn't even live anywhere close to @NUM1 hours to me. She's way down @LOCATION2 in @LOCATION1. By car thats one and a half days and by plane thats three hours! So @CAPS1's so much easier to log on @CAPS2 and have a private conversation with her rather than driving a day and a half or flying for three hours. So in conclusion I'm sure you totally agree with me. Computers are just amazing! They help you get hand eye coordination, let you research something super quick, and let you stay in touch with far away friends and family."	4	5		9																					
223	1	"Dear @LOCATION1, I think the way how more and more people use computers are bad because, @NUM1 int's not good for people's health, @NUM2 people who use computers lots of times, refuse to spend time with family and friends and @NUM3 you can find more about something that's on a computer by going and studying it yourself. My first reason why computers have bad effects on people who use computers, is the health issue. Health in very important but sitting in front of a computer for hours makes matters worst. By the way you hunch your back in order to see something small on the computer creen, or when you hold on the mouse, waiting to click onm something for long period of time, can cause arthrities. My second reason why computers have bad effects on people who use them. Are that people who are on computers & end to sometimes refuse to spend time with family or friends like for example: @CAPS1 say a week ago you made a promise to have a family get together with the family, and they all count on you to come, @CAPS2 you get a computers, you go on all these neat websites that you never heard off it's amazing right! WRONG! before you know if, it's the day for the family get together and your line an hour @CAPS4 you amke excuse not to come. And that breaks you family's heat....My last reason why, to me computers are a bad idea is you can learn about another the computer by going on to a But its ore fun traveling or meeting people from that place @CAPS2 setting in a for and having your neck, back and sore @CAPS3 I right, I think I @CAPS3. Also idsfun to and ear foods from the culture that you fing cool off that lame computers.(To me that sounds like a good time to invite family and friends!) @CAPS4 therefore in conclusion, in my personal opinion computers have bad effects of people health, it can cause later bacj and neck problems maybe even activities. People who use computers a lot or love to spend time on computers refuse to spend time with family and friends, and @NUM3 You can find more about something like a culture or land, if you go and study its yourself instead of going on a computers for hours. I hope my opinion convinces others, hoe computers have bad effects on people who use it a lott, and take action into their own hands and do what is right."	4	4		8																					
224	1	"@ORGANIZATION1, Computers have great effects that are positive towards people. This is @CAPS3 it teaches hand eye cordanation, allows people to learn about far away places, and to talk to other people online. Computers have great positive effects for ever"	4	4		8																					
226	1	"Dear @CAPS1, @CAPS2 out of ten people spend their time on the computers. I believe people should not spend @CAPS3 much time on their computers because it can hurt their eyes. They @MONTH1 watch inappropriate videos or pictures. Lastly, their bills will get higher. Did you know a lot of people spend their time on the computers? Well I think they should not be sitting on their damage their eyes. When you sit and watch computer your eyes starts to hurt. Then when you go to check your eyes, the doctor will probably give a glasses. My second reason is that people go to inappropriate sites and watch inappropriate videos. One time my friend was sitting in the computer and she started to watch inappropriate videos @CAPS3 when her father found out about this, he canceled their internet. Can you imagine the high bills you would get? Why pay too much money for spending @CAPS3 much time in the computer, when you can turn off the computer and spend some time with your friends. For example, instead of sitting on the computer @CAPS3 much, go outside and play soccer, kickball and more. In conclusion, people should stop spendinding @CAPS3 much time on the computers. Computers can hurt your eyes if you sit too much. People @MONTH1 watch inappropriate videos. Also your bills will get higher. It seems to me that people need different activities to get them off the computers. I hope you are agree with my ideas. "	4	4		8																					
228	1	"Dear people from the newspaper, I am concerned that people take too much time on the computer because it could cause trouble, voilence, & illegal crimes. First, I am concerned that people spend too much time on the computer because it couses trouble, in @DATE2, @PERCENT1 @DATE1 people in the @LOCATION1, do bad stuff like starting rumors, & saying bad stuff about people they dispise, in the @DATE1, @PERCENT2 @DATE1 teens form ages @NUM1 were envolven with the rumor spreading. This would be bad for all children. All these reasons will lead to the @NUM2 below. Secondly, I am concerned that people spend too much time on the computer because it couses voilence, because @DATE1 the reasons started in the @NUM3 paragraph, if all this continues, then it @MONTH1 & lead to voilence, in @DATE1 @NUM4 people died from all the crimes online. @NUM5 threats were found online from big websites like @CAPS1, @CAPS2 & @CAPS3. Lastly, I am concerned that people spend too much time on the computer because it could lead to illegal crimes, In @DATE3 a girl was talking to a boy online then when they decided to meet, he shot & killed her. It turned out he was just a person who lied about who he was online, @CAPS4 on a website online, a group @DATE1 men were talking about now much they hated kids so they decided to shot them @ their bus stops. Thank god that the police caught them before they were to do the crime In conclusion, I am concenred that people are spending too much time on the computer because it causes trouble, voilence, & illegal crimes. This @CAPS5 like totally needs to stop before everyone is addicted to spreading rumors. Thank you for your time in reading this letter"	4	4		8																					
235	1	"To whom it @MONTH1 concern, I feel that computers are a great in most people lives. One you can use them for almost everything. two computers are good for you in many ways. It shouldnt affect dailey schedule or just being with your family. People can use computers for almost everything for one their are hundred of websites on the computer. For example, you can play games all different kinds, you can also chat with people, litsen to music, watch videos, look for places and a whole lot more. Computers are very useful in many different ways. Computers are also good for you. They help with you eye cordination. You can also go online and do practice on math, social studies, etc. The internet also has a lot of eduacting games whiten is good for people who had that extra help. It also helps you with you hand cordinations because on the computer you need to know how to type. you get realy good at it you can type without looking. A computer can not get between you dailey schedule or whay u do with your family. Because a computer is a computer you go on it if you need something or you go on it just for fun for example i havea computer at my house and someone goes on it everyday and it never affect what everybody does us kids still go to school my parents still go to work, we eat dinner together we do what we have to do, and the computer never gets in the way. As my conclusion i know that computers are good to have in peoples houses. One you can use them for almost everything. Two computers are good for you. Three i shouldnt affect your daily schedule in anyway."	3	4		7																					
236	1	"Dear newspaper people I think computers are good because wat if I have a family member that gose out of town and you want to stay in tuch and I dont have a phone then I can go-on a chatting web sight and stay in with them. When @CAPS1 bored I go on google to look up and pichers and play some games. You can look up one think and find something elsa, but it will cech your eyes. Computers are good were ever you go, it can look up for a project for school. Bur ween you are in school it can help you with spelling, and if u got to know wat contrey has the most people the @CAPS2 will find the ancer as fast as a snap. Computers are advanceing every year. Seart the @CAPS2 was just a screan and a mouse, now we got laptops that you can tack every were. People can get exercis if thay want and thay can enjoy nature thay can bring a laptop. But when you are exercising then you can go right to youtube and lison to some musick and wach funny videos. And thats whay I think computers are good."	3	3		6																					
253	1	"Dear @CAPS1, @CAPS2 you think computer's are good to use? More and more people use computer, but not everyone agrees that this benefits soceiety I srong disagree. My first reason is because computer's are not safe. My second reason is computer's could get you in a lot of troble. My @CAPS3 reason is you never know what could happen on the computer. Read on and see why I disagree. First @CAPS4 gonna tell you why I disagree. The reason why I disagree is because computer's are not safe because you could have someone trace where you live at then what? Second - computer's could get you into a lot of trobe such as posting things online or saying mean thing's to people. Next computer's are bad because if someone like's you and you say I dont like you they could post mean and hurt full thing's and then if you friend's see it you will probably get mad. Finally - in concusion thease are all my reason's why I think computer's are not good. You never know what coud happen on a computer there's website's there and some could start a virus on your computer. Also I think computer's are not good because computer's lead to no good so keep your child away from computers. Also be careful what chu @CAPS2."	3	3		6																					
262	1	"Do you think being able to look up information on anything or talk to people that are for away is ggod? With a computer these are some things that you will be able to do. Being able to talk to anyone that is far away is good. Some people have family in other countries that they have not seen in a long time and with a computer you can talk to them. @CAPS1 the people we have sent to @ORGANIZATION1 they have a Family here and I have heard of them using computers to talk to them because they miss them. Also if you live in an area that gets bad weather and you can not go anywhere a computer can help pass the time, @CAPS1 the people that live in the @CAPS2 they can get alot of snow during the winter time and @MONTH1 have to stay inside. So if they have a computer they are able to do things @CAPS1 play some games or can watch some videos to pass the time. Another thing a computer is good for is that you are able to search for anything. You are able to learn about faraway places even if you have never been there just by looking it up. Some kids do have some trouble with some homework but can use a computer to learn some more about it and hopefully they will now understand how the work is suppose to be done instead of going to the teacher tomorrow and telling them that you did not do it. There are my opinions why a computers have a positive effect on people. By being able to search anything, help children with homework, and pass the time if you have nothing to do."	4	4		8																					
264	1	"Dear editor, @CAPS1 do you do all day? The answer to that would probably be sit down in front @ORGANIZATION1 a computer all day. My friends say that this is very unhealthy, research as proven it and my mom has had experience with the computers. This just isn't healthy for our envierment and people. @PERCENT1 @ORGANIZATION1 my friends say that computers are a waste @ORGANIZATION1 time. Most people who interact on the computer all day don't have a stable diet or even a good excersice ruinte. They say that all the junk kids and grown-ups acumulate in their daily life is unhealthy and will never go away unless they get up. They also say that without excersice our country will be filled with over weight people. Dr. @ORGANIZATION1 has done extensive research and has proven that computers are bad for you. @PERSON1 has gone all over the country to talk to people, and he specifically stresses that more people should get out and enjoy the nature but, no their sitting in front @ORGANIZATION1 a computer which is not good for them. He's taught people that @PERCENT2 @ORGANIZATION1 the time if you get out and have fresh air your life will be so much better. My mom has had experience with computers and asures me that when she was younger you couldn't just sit there and not get out. She says that it's important to interact with your family and friends so you keep a stable relationship. Talking to your family will keep them intact with @CAPS1's going on in your life and hanging out with your friends will help with having more @ORGANIZATION1 a life without your household. She says any kid who does sit in front @ORGANIZATION1 a computer all day should be disappointed @ORGANIZATION1 themsleves. Editor you've done a wonderful job since you've taken the job! So, I feel that if you stress the point in your next newspaper about not having computers all the time you should always excersice like my friends say, the research as taught to enjoy your nature and my mother says to interact with your family and friends. I'm sure your next article will be a wonderful dream to people stating facts."	4	4		8																					
268	1	"Dear, @CAPS1 I would like to tell you something. Throughout the ages we have been evolving, from caveman discovering fire to discovering how to fly. With evoloution we discovered technology and in recent years we have been making new technologies rapidly. Some say that some technology like computers are bad, I think that computers are good because they give you the ability to learn about for away places. let you talk to people online and teach hand-eye coordination. Computers let you go places that you ordinarilly wouldn't be able to go to. If you were doing a research projects on @LOCATION1 and you didn't have any books what would you use? That's right, a computer the internet would have the facts you needed, so you could grade. While on the internet you could talk to friends and family who @MONTH1 live for away. The computer goes over long distances and connects both computers so you can bend writing almost instantly. Without computers you wouldn't be able to get in touch with these people. Using computers is good for the body as well as the mind. It helps you with your hand-eye coordination. When you see things on the screen and go to chick it you are actually helping out your body. Some people say that when you are on the computer you aren't interacting with friends and family, but they are wrong. I myself have talked with my sister in a different room while using the computer so the computer lets you interact with friends and family too! I love computers, don't you?"	4	4		8																					
270	1	"Dear @CAPS1 sun, I find that computers are very useful. They help people in many ways. They let people learn about what is going on in the world, teach hand eye cordination, and let you meet people online. First, people can learn about what is going on around the world. I can find out what is happening where I live by looking up your newspaper. Other people can find out about places they might go. They can find out what the weather is like so they know how to puck when going places. Also, if one of your employees is going camping they can look up a good place to camp and they can look up what kind of dangers there is when you camp so they can avoid them, because if they get sick they can't work. As you can see computers are important. Next, computers teach hand eye ncordination. Many jobs need you to be able to work well with your hands. Lets say one of your printers break down so you call someone to come fix it. They must be able to work well with their hands to fix it. Now lets say the wiring in your lights get messed up. So you call an electrician has to be good with his hands to be able to work with small wires. Both of these people are good with their hands and they could of become that way by using computers. As you can see, computers are important in today's life. Lastly, computers let you meet new people online. Lets say you are all alone after a hard day of making newpapers. You could go online and meet new people in chat rooms and online games. Now lets say that one of your employess just broke up with his girlfriend and he is sad and lonely, so she isn't working as well. He could go on an online dating site and meet the perfect girl. Now when he comes to work he is happier and making more papers and if he makes more papers you make more money. As you can see computers are very important. In conclusion, computers are wonderful machines. They can let people learn about what is going on in the world, teach people good hand eye cordination and let people neet new people online."	4	4		8																					
